timestamp,open,high,low,close,volume
2025-05-06,3082.11,3095.76,3052.9,3081.27,658599
2025-05-07,3099.54,3141.7,3034.05,3079.27,3138421
2025-05-08,3077.19,3095.0,3065.03,3089.11,4913344
2025-05-09,3090.65,3106.45,3053.07,3061.22,426523
2025-05-10,3143.98,3199.76,3069.86,3127.89,4766322
2025-05-11,3210.38,3301.8,3155.48,3238.67,3697366
2025-05-12,3243.98,3267.89,3203.92,3265.96,3173638
2025-05-13,3150.04,3157.11,3102.93,3148.78,595814
2025-05-14,3177.04,3231.49,3115.69,3194.61,1634843
2025-05-15,3127.79,3191.59,3090.23,3132.91,532490
2025-05-16,3192.58,3202.47,3167.97,3181.51,2449977
2025-05-17,3169.08,3248.97,3148.55,3185.84,3897105
2025-05-18,3125.21,3126.45,3110.38,3119.4,4064990
2025-05-19,3134.1,3150.73,3105.46,3132.21,578819
2025-05-20,3033.55,3063.5,3016.24,3021.08,4805210
2025-05-21,3073.24,3090.29,3010.5,3057.95,4438608
2025-05-22,3054.67,3115.19,3021.13,3038.85,3993044
2025-05-23,3102.63,3137.68,3082.84,3122.1,2437230
2025-05-24,3068.51,3142.95,3051.14,3083.05,4177478
2025-05-25,3176.24,3206.25,3153.79,3203.34,3432447
2025-05-26,3182.09,3232.99,3103.43,3164.45,1961257
2025-05-27,3220.66,3261.44,3179.58,3205.47,4977480
2025-05-28,3175.8,3204.48,3141.3,3196.31,424751
2025-05-29,3233.65,3285.57,3156.82,3215.54,1141692
2025-05-30,3190.97,3242.28,3162.47,3170.46,3669684
2025-05-31,3129.13,3177.41,3068.97,3127.71,460974
2025-06-01,3013.01,3085.04,2979.98,3027.8,2515463
2025-06-02,3060.17,3104.03,3044.85,3080.48,3120568
2025-06-03,3013.02,3014.58,2969.19,2995.02,148797
2025-06-04,3052.23,3077.69,3047.12,3066.32,156076
2025-06-05,3014.52,3015.59,2996.23,3002.05,3276290
2025-06-06,2925.5,2943.88,2881.85,2903.89,1130506
2025-06-07,2884.9,2926.31,2878.61,2903.45,3454439
2025-06-08,2772.37,2824.31,2763.19,2780.65,2365908
2025-06-09,2795.87,2809.6,2753.06,2783.39,4951023
