timestamp,open,high,low,close,volume
2025-05-06,1967.52,1982.39,1925.38,1958.31,4282874
2025-05-07,1946.07,1949.03,1938.93,1947.42,2297767
2025-05-08,1898.29,1914.66,1878.06,1904.36,2177786
2025-05-09,1900.05,1909.72,1879.23,1884.65,254661
2025-05-10,1904.02,1921.61,1854.88,1892.01,354187
2025-05-11,1870.75,1906.77,1837.37,1868.62,2183780
2025-05-12,1845.2,1864.2,1817.05,1847.43,1612683
2025-05-13,1823.6,1843.69,1790.59,1825.07,1990499
2025-05-14,1838.85,1847.86,1832.79,1835.55,4158022
2025-05-15,1804.26,1821.54,1788.79,1811.46,1746397
2025-05-16,1826.48,1841.89,1816.33,1836.78,1000822
2025-05-17,1872.77,1907.83,1830.86,1855.37,2540787
2025-05-18,1871.87,1908.27,1868.06,1871.17,3863909
2025-05-19,1919.12,1930.19,1902.89,1906.66,2493506
2025-05-20,1925.65,1929.24,1889.67,1909.88,4624111
2025-05-21,1977.97,2015.92,1972.84,1988.54,2298701
2025-05-22,1932.66,1968.03,1913.77,1936.52,997506
2025-05-23,1994.81,2032.82,1981.51,2003.94,308685
2025-05-24,1996.43,2035.55,1957.4,1995.85,388307
2025-05-25,1969.01,2013.07,1960.18,1987.01,3122359
2025-05-26,2091.76,2100.31,2084.26,2096.27,3574689
2025-05-27,2150.41,2185.28,2122.63,2134.19,3074313
2025-05-28,2216.78,2243.46,2162.79,2206.35,4500868
2025-05-29,2207.47,2217.21,2159.03,2199.01,295295
2025-05-30,2164.35,2185.99,2118.37,2147.89,4654309
2025-05-31,2031.16,2055.6,2008.34,2042.89,4017630
2025-06-01,2065.88,2109.44,2030.46,2078.12,4053068
2025-06-02,2028.14,2074.65,2009.37,2039.92,420630
2025-06-03,2034.66,2081.88,2009.5,2055.0,4691876
2025-06-04,2010.42,2038.34,2003.89,2022.86,1930404
2025-06-05,2053.34,2083.25,2027.62,2044.35,4117459
2025-06-06,2030.93,2064.43,2006.23,2024.45,3705415
2025-06-07,2086.48,2108.78,2049.02,2072.75,2349381
2025-06-08,2062.65,2074.47,2048.69,2060.44,3120433
2025-06-09,2097.59,2155.77,2091.75,2115.12,3472040
2025-06-10,2103.22,2114.98,2068.14,2113.58,497771
2025-06-11,2007.02,2045.17,1983.45,2027.1,4589216
2025-06-12,1957.84,1978.29,1924.97,1958.68,3833755
2025-06-13,1956.95,1985.28,1940.3,1945.64,4756454
2025-06-14,1910.02,1917.01,1880.87,1905.47,403363
2025-06-15,1867.53,1886.5,1864.45,1877.37,1872654
2025-06-16,1845.36,1879.72,1834.53,1845.62,1193695
2025-06-17,1896.75,1914.08,1861.25,1891.95,2140815
2025-06-18,1852.05,1878.47,1843.37,1868.18,3348777
2025-06-19,1878.55,1905.68,1855.35,1887.91,4045158
2025-06-20,1963.38,1970.13,1922.14,1957.98,2185009
2025-06-21,1982.5,1996.95,1962.85,1974.53,1257850
2025-06-22,1989.37,2027.18,1952.82,1975.19,1508306
2025-06-23,2027.95,2029.27,2002.5,2016.47,720233
2025-06-24,2021.66,2048.61,1992.0,2019.6,1543369
2025-06-25,2085.75,2135.22,2081.97,2101.69,1502885
2025-06-26,2125.36,2143.51,2088.55,2129.81,2971848
2025-06-27,2156.74,2157.18,2096.02,2137.98,3057211
2025-06-28,2178.95,2189.03,2124.91,2159.28,1666273
2025-06-29,2140.48,2145.62,2105.45,2137.35,2098238
2025-06-30,2202.27,2203.21,2168.3,2188.87,2803044
2025-07-01,2273.38,2299.37,2254.1,2275.42,626117
2025-07-02,2262.08,2275.2,2208.23,2253.05,1906103
2025-07-03,2319.83,2348.28,2296.82,2317.26,1232651
2025-07-04,2425.28,2467.53,2405.38,2407.52,1230220
2025-07-05,2381.39,2428.37,2373.17,2395.32,3231020
2025-07-06,2412.22,2442.74,2373.17,2401.73,2690870
2025-07-07,2397.19,2427.17,2373.44,2411.84,1171598
2025-07-08,2407.41,2450.33,2364.49,2390.94,899078
2025-07-09,2475.88,2503.69,2445.2,2456.89,2097258
2025-07-10,2510.24,2512.99,2461.2,2506.71,3766035
2025-07-11,2451.56,2508.03,2431.45,2467.11,4421132
2025-07-12,2457.57,2483.83,2408.99,2440.3,970344
2025-07-13,2446.73,2486.24,2385.56,2430.76,2774966
2025-07-14,2404.55,2459.34,2375.26,2428.45,284783
2025-07-15,2405.8,2420.04,2378.92,2411.35,3011352
2025-07-16,2520.89,2528.51,2466.96,2503.84,1040833
2025-07-17,2574.46,2600.08,2533.17,2559.93,2441780
2025-07-18,2561.71,2583.07,2517.59,2574.95,1074206
2025-07-19,2553.63,2588.83,2497.25,2545.65,124505
2025-07-20,2536.29,2556.35,2483.69,2511.26,131753
2025-07-21,2537.62,2556.04,2516.22,2535.41,3251886
2025-07-22,2547.97,2581.94,2506.21,2526.44,2495811
2025-07-23,2581.16,2613.89,2539.83,2581.85,2325677
2025-07-24,2646.82,2694.51,2591.09,2641.77,217107
2025-07-25,2751.58,2788.47,2717.25,2735.71,3294325
2025-07-26,2716.82,2754.08,2675.44,2702.4,2001891
2025-07-27,2719.35,2743.51,2693.18,2714.96,3938316
2025-07-28,2714.6,2753.31,2688.19,2731.84,1115876
2025-07-29,2730.21,2767.58,2708.58,2744.44,4891863
2025-07-30,2661.79,2676.82,2609.8,2665.62,2017029
2025-07-31,2709.38,2775.75,2692.23,2736.4,4941343
2025-08-01,2798.91,2808.5,2746.87,2781.21,2446335
2025-08-02,2795.21,2820.16,2762.15,2777.18,580022
2025-08-03,2847.05,2868.8,2819.9,2831.27,4786447
2025-08-04,2785.33,2798.65,2754.93,2798.58,1374427
2025-08-05,2825.17,2880.69,2806.23,2835.92,3205218
